sta_re_11,sta_re_12,sta_re_13,sta_re_14
方法名称,时间,"做多仓位","做空仓位"
多空-弹簧策略-上证综指,2010-06-30,"600275,600506,600737,600408,600532,600740,600091,600714,600722,600022,600117,601005,600311,600385,600768,600678,600720,600876,600133,600209,600629,600207,600468,600590,600421,600444,600579,600038,600482,600990,600148,600609,600877,600110,600152,600707,600060,600690,600854,600084,600132,600199,600107,600137,600448,600076,600235,600793,600227,600721,600767,600726,600744,600868,600106,601866,601919,600007,600082,600692,600015,601009,601998,600061,600155,600695,600247,600753,600857,600138,600358,600749,600476,600701,600800,600242,600455,600661,600130,600260,600734,600083,600149,600281","600097,600467,600962,600583,600997,601001,600028,600387,600810,600282,600307,601003,600595,601168,601958,600586,600668,600881,600491,601186,601390,600475,600550,601727,600481,600835,600894,600150,600316,600685,600006,600104,600686,600183,600288,600601,600336,600619,600983,600597,600779,600882,600220,600232,600824,600735,600963,600978,600380,600488,600511,600021,600027,601991,600018,600026,600428,600052,600322,600724,600036,601398,601988,600053,600837,601628,600287,600814,600981,600555,600965,601007,600602,600654,600718,600386,600757,600825,600462,600775,600776,600051,600234,600805"
多空-弹簧策略-沪深300,2010-06-30,"000876,000723,600188,601088,600176,600346,600352,000898,600010,600019,000630,600111,600516,000786,002271,600585,002081,600068,600170,600089,600406,600438,000157,000425,600031,600038,600482,600760,000338,600066,600297,002008,002236,002241,000651,002050,600690,000596,000858,600519,600398,000423,000661,600332,600674,600886,600900,002010,002120,601919,002146,600383,600848,600015,601009,601998,000627,600061,600390,002024,600655,002230,600570,600588,002027,600637,600487,600498,600522","000876,600583,601808,601898,600028,600299,600309,000709,000898,600019,600362,601600,601899,000786,002271,600585,600170,601186,601390,002202,600089,601727,000425,600031,601766,000768,002179,600893,000625,600104,600660,000725,600183,600703,000651,002032,600690,000568,600809,600887,600398,002001,600085,600196,600011,600027,600795,600018,600029,601111,000002,600177,600208,600036,601398,601988,600837,601601,601628,002024,600655,000938,600100,600271,002027,600637,000063,600050,600498"
多空-弹簧策略-中证500,2010-06-30,"000930,600195,600737,600348,600777,600985,000990,600256,600273,000717,000959,601005,000878,600259,600549,000877,002233,600801,002051,600039,600970,002074,002176,002266,000039,000528,600545,000519,000738,600765,000559,000581,000980,000050,600707,600745,002242,600060,600839,000848,000869,600132,000488,002191,600567,000766,000999,600645,000598,000826,000883,002183,600125,601866,000537,000718,600515,000563,600155,600291,600694,600729,600827,600138,600258,600754,000066,000158,002268,002131,600158,600373,002093,600260,600804,000009,600770,600811","000998,600298,600598,000983,002128,601001,000301,000830,600500,000761,600282,601003,000807,000960,601168,000012,000877,600881,002051,600039,600820,002028,600312,600875,600528,600582,600835,600150,600316,600879,600006,600335,600418,000727,000988,600751,002242,600060,600839,000729,600597,600779,002078,002191,600567,600216,600380,600511,000600,600021,600098,600026,600428,601872,600648,600649,600895,000712,600053,600120,000061,000501,600415,600138,600258,600754,000997,600410,600718,002174,600037,600757,002093,600776,600804,000009,600770,600811"
多空-弹簧策略-A股市场,2010-05-31,"600093,600108,600695,000835,600348,600740,000553,000578,600444,000959,600894,601005,002114,600330,600768,000058,000806,600654,000404,002035,002050,000799,600191,600702,002072,600272,600851,000526,000910,002047,000607,000990,600781,000767,001896,600131,000421,600190,600896,000040,000609,600679,000785,000796,000889,000610,600209,600358,600212,600652,600661,000401,600291,600819,000617,000923,601002,000710,000980,600099,000687,600485,600855,600061,600747,600830,000793,600764,600832","000893,600311,600359,601001,601857,601898,000407,600028,600889,600005,600022,601003,000807,600595,601600,000725,000733,600237,002011,600839,600983,000858,600616,600962,000850,600220,600510,000659,600356,600978,000788,600129,600866,000600,600021,601991,600018,601872,601919,600246,600639,600895,600361,600822,600824,000428,000978,600555,000652,600051,600783,600881,601390,601808,600550,600835,601727,600072,600150,600316,002093,600501,600601,600837,601628,601998,600050,600718,600825"
多空-动量上涨加减速-上证综指,2008-06-06,"600026,600029,600072,600089,600110,600115,600117,600121,600122,600136,600139,600141,600162,600167,600169,600173,600176,600185,600216,600223,600239,600249,600284,600291,600307,600313,600335,600348,600373,600376,600385,600387,600389,600409,600425,600426,600449,600462,600466,600468,600478,600482,600489,600497,600508,600538,600547,600550,600551,600559,600565,600581,600598,600614,600615,600634,600643,600657,600674,600683,600704,600711,600716,600721,600737,600757,600759,600773,600803,600804,600816,600825,600830,600844,600862,600885,600966,600971,600975,600986,600995,601001,601666,601699,601991","600030,600039,600058,600062,600063,600068,600076,600078,600093,600097,600106,600107,600108,600109,600111,600112,600127,600128,600137,600149,600150,600153,600158,600166,600179,600188,600193,600196,600202,600220,600226,600227,600229,600230,600231,600234,600238,600251,600256,600258,600267,600281,600282,600285,600287,600290,600293,600295,600306,600311,600328,600333,600339,600340,600351,600352,600354,600359,600380,600381,600390,600428,600429,600432,600435,600439,600477,600479,600481,600486,600488,600499,600505,600506,600509,600511,600516,600517,600518,600526,600540,600543,600545,600557,600569,600570,600575,600582,600586,600595,600596,600603,600610,600611,600624,600630,600635,600638,600645,600666,600668,600678,600720,600723,600725,600728,600730,600739,600740,600742,600746,600747,600755,600758,600760,600765,600782,600798,600801,600806,600812,600820,600823,600828,600837,600846,600848,600864,600874,600891,600892,600896,600897,600898,600965,600981,600983,600997"
多空-动量上涨加减速-沪深300,2008-06-06,"000712,000629,000568,600489,600674,000651,600089,600029,000783,000709,000423,601699,600373,600348,000009,000725,600547,000983,600804,600497,000686,002001,600115,601991,000831,000792","002007,600150,600108,600068,000425,600352,000800,600196,000999,600111,000598,600516,600739,600837,000963,600188,600256,600109,000917,002038,600166,600570,600518,000960,600030,600340"
多空-动量上涨加减速-中证500,2008-06-06,"600737,000513,000422,600971,600773,000780,002011,600757,600614,600335,000933,600425,600816,600216,600409,000650,600803,000612,600176,002018,600389,002093,600885,600478,600110,000656,600482,000596,600169,600376,601666,600141,000931,600704,000685,000426,000861,000401,600026,600387,600759,601001,600426,600551,000877,600657,000979","600481,000961,600112,600267,600058,600380,000735,600747,600435,000488,600983,600062,000415,600997,000587,600351,600874,600596,000511,000540,600428,600557,600220,000887,600517,600635,600611,000566,600864,600586,600251,000667,600812,600545,600801,600509,000998,600158,000748,000718,000690,600575,600823,600039,600511,002022,600765,600499"
多空-动量上涨加减速-A股市场,2008-06-06,"000009,000010,000014,000019,000031,000061,000301,000401,000409,000422,000423,000426,000430,000513,000532,000563,000565,000568,000582,000596,000605,000609,000612,000613,000629,000635,000651,000656,000685,000686,000712,000723,000725,000758,000780,000783,000792,000828,000831,000833,000838,000861,000877,000880,000885,000931,000933,000935,000958,000965,000968,000983,002005,002006,002009,002011,002016,002042,002092,002093,600026,600029,600072,600089,600115,600117,600121,600141,600162,600169,600173,600176,600185,600216,600223,600239,600249,600284,600307,600313,600348,600362,600373,600376,600385,600387,600389,600409,600425,600426,600449,600466,600468,600478,600489,600497,600508,600538,600547,600550,600551,600559,600581,600598,600614,600615,600657,600674,600683,600691,600704,600711,600716,600721,600737,600757,600759,600773,600803,600804,600816,600825,600830,600841,600844,600862,600885,600966,600971,600975,600986,600995,601001,601666,601699,601991","000059,000159,000404,000407,000415,000417,000425,000488,000509,000511,000540,000544,000552,000553,000571,000576,000584,000587,000590,000595,000597,000598,000599,000627,000667,000687,000690,000698,000713,000718,000735,000779,000789,000800,000802,000816,000835,000836,000856,000922,000923,000929,000938,000948,000950,000952,000955,000960,000961,000980,000998,000999,002007,002012,002019,002022,002035,002038,002041,002064,600030,600039,600058,600062,600063,600068,600076,600078,600093,600106,600107,600108,600109,600111,600112,600127,600128,600149,600150,600158,600163,600166,600179,600188,600193,600196,600220,600227,600229,600230,600231,600234,600238,600251,600256,600267,600281,600282,600285,600287,600290,600293,600295,600306,600311,600328,600339,600340,600351,600352,600354,600359,600380,600381,600390,600391,600428,600429,600432,600435,600439,600444,600477,600479,600481,600486,600488,600505,600506,600509,600511,600516,600517,600518,600540,600543,600545,600557,600569,600570,600582,600586,600596,600603,600610,600611,600624,600630,600635,600638,600644,600666,600668,600678,600693,600720,600723,600725,600728,600730,600733,600739,600740,600742,600746,600747,600755,600758,600760,600765,600782,600798,600801,600812,600820,600823,600828,600837,600846,600848,600864,600874,600891,600892,600896,600897,600898,600962,600965,600981,600983,600997"
多空-动量下跌加减速-上证综指,2008-06-06,"600016,600019,600020,600028,600048,600054,600066,600074,600082,600088,600104,600146,600183,600189,600195,600211,600266,600268,600269,600298,600302,600308,600309,600316,600320,600377,600383,600403,600456,600487,600533,600548,600549,600563,600580,600584,600592,600600,600660,600671,600675,600686,600690,600749,600761,600800,600865,600961,601333,601398,601588,601628,601872,601988","600006,600007,600009,600011,600012,600018,600021,600033,600035,600037,600038,600051,600053,600057,600060,600073,600077,600080,600085,600086,600098,600105,600118,600125,600130,600132,600143,600151,600152,600171,600197,600198,600200,600206,600212,600215,600222,600232,600237,600240,600260,600261,600262,600270,600275,600289,600299,600300,600303,600305,600312,600317,600319,600323,600326,600327,600330,600337,600345,600350,600353,600356,600358,600360,600361,600365,600370,600371,600375,600379,600388,600406,600410,600415,600416,600418,600420,600436,600446,600452,600458,600459,600460,600475,600485,600493,600495,600496,600501,600520,600523,600525,600527,600529,600535,600536,600560,600561,600573,600576,600590,600597,600604,600605,600606,600613,600616,600618,600619,600620,600623,600628,600633,600636,600639,600640,600642,600647,600650,600651,600661,600663,600665,600680,600688,600694,600707,600712,600713,600718,600726,600754,600756,600763,600764,600767,600768,600769,600774,600775,600776,600787,600790,600797,600808,600809,600822,600826,600829,600831,600834,600839,600843,600853,600855,600875,600876,600879,600887,600888,600895,600960,600969,600973,600976,600978,600990,600993,601607"
多空-动量下跌加减速-沪深300,2008-06-06,"000046,600309,601628,601398,600383,000858,600019,600316,000024,600549,600690,000402,000069,600104,601333,000839,601988,600016,600028,600660","600633,600875,600839,600535,000970,600642,600009,600887,600809,000538,600406,600011,000039,600118,000625,600485,600663,000793,601607,000581,600718,600085,000503,600018,000876,600038,600317,600597,000027,000539,600060,002051"
多空-动量下跌加减速-中证500,2008-06-06,"600456,600584,600563,000997,002069,600195,600761,600320,000951,002056,600580,000090,600183,000012,600487,600298,000519,600675,600403,000528,000550,600088,000616","600754,600879,002063,000930,600073,600826,600240,600418,600200,000099,600021,600797,600184,000829,000062,600651,600171,000021,600967,600636,002091,600151,600300,600460,600280,600086,600546,600037,600525,000848,600640,600618,600132,600289,600446,600261,000926,600416,600808,600536,000852,600006,600790,000823,000049,002025,600895,600458,600270,002049,600831,600978,000066,600776,600993,600639,600496,600312,600337,600125,600436,600260,600694,600410,600198,000088,600143,600004,600787,002106,000762,600628"
多空-动量下跌加减速-A股市场,2008-06-06,"000012,000042,000046,000050,000069,000090,000402,000528,000537,000550,000616,000637,000639,000657,000797,000837,000858,000951,002031,002033,002034,002040,002055,002056,002074,002077,002079,002086,002088,002095,002101,002102,002103,600016,600019,600020,600028,600048,600054,600066,600082,600088,600104,600146,600183,600189,600195,600266,600268,600269,600298,600302,600308,600309,600316,600320,600377,600383,600401,600403,600456,600487,600533,600548,600549,600563,600580,600584,600592,600600,600660,600671,600675,600686,600690,600749,600761,600800,600865,600961,601333,601398,601588,601628,601872,601988","000011,000018,000021,000023,000027,000029,000036,000037,000039,000049,000058,000062,000088,000089,000099,000410,000503,000533,000538,000548,000551,000573,000581,000601,000617,000619,000625,000662,000666,000701,000715,000733,000739,000752,000753,000760,000762,000767,000790,000810,000811,000823,000829,000848,000851,000852,000876,000888,000910,000913,000916,000926,000927,000928,000930,000936,000966,000970,000977,000978,002010,002014,002021,002023,002025,002026,002037,002039,002046,002047,002049,002051,002052,002058,002059,002060,002063,002066,002070,002071,002072,002076,002084,002085,002087,002089,002090,002094,002096,002098,002099,002105,600006,600007,600009,600011,600012,600018,600021,600033,600035,600037,600038,600051,600057,600060,600071,600073,600077,600080,600085,600086,600091,600098,600118,600125,600130,600132,600143,600151,600152,600171,600197,600198,600200,600206,600215,600222,600232,600237,600240,600260,600261,600262,600270,600275,600289,600300,600303,600305,600317,600323,600326,600327,600330,600337,600345,600350,600356,600360,600361,600365,600370,600371,600375,600379,600388,600406,600415,600418,600420,600436,600446,600452,600458,600460,600475,600485,600493,600495,600496,600501,600523,600525,600527,600529,600535,600536,600560,600573,600590,600597,600604,600605,600606,600613,600616,600618,600623,600628,600633,600636,600639,600640,600642,600647,600650,600651,600661,600663,600665,600680,600688,600694,600707,600712,600713,600718,600726,600754,600756,600764,600768,600769,600774,600775,600776,600787,600797,600808,600809,600822,600826,600829,600831,600834,600839,600843,600853,600855,600875,600876,600887,600888,600895,600960,600969,600973,600976,600990,600993,601607"
