Row,ADSEZ,APNT,AXSB,BAF,BHARTI,BJAUT,BJFIN,BPCL,BRIT,CIPLA,COAL,DIVI,DRRD,EIM,GAIL,GRASIM,HCLT,HDFC,HDFCB,HDFCLIFE,HMCL,HNDL,HUVR,ICICIBC,IIB,INFO,IOCL,ITC,JSTL,KMB,LT,MM,MSIL,NEST,NTPC,ONGC,PWGR,RIL,SBILIFE,SBIN,SRCM,SUNP,TATA,TCS,TECHM,TTAN,TTMT,UPLL,UTCEM,WPRO
2016-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0,1,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,0,1,0,0,0,0,0,0,0,0,0
2016-07-04,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NaN,0,1,0,0,0,0,0,0,0,0,0
2016-07-05,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NaN,0,1,0,0,0,0,0,0,0,0,0
2016-07-06,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NaN,0,1,0,0,0,0,0,0,0,0,0
2016-07-07,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NaN,0,1,0,0,0,0,0,0,0,0,0
2016-07-08,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NaN,0,1,0,0,0,0,0,0,0,0,0
2016-07-11,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-12,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-13,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-14,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-15,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-18,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-19,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,NaN,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-20,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NaN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-21,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-07-29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-08-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,0,0,1,0
2016-08-22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,0,0,1,0
2016-08-23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,0,0,1,0
2016-08-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,0,0,1,0
2016-08-25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,0,0,0,1,0
2016-08-26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,1,0,0,1,0
2016-08-29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,NaN,0,0,0,0,0,0,1,0,0,1,0
2016-08-30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1,0,1,0
2016-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1,0,1,0
2016-09-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1,0,1,0
2016-09-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1,0,1,0
2016-09-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1,0,1,0
2016-09-06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1,0,1,0
2016-09-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0,1,1,0,1,0
2016-09-08,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,1,1,1,1,0
2016-09-09,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,1,1,1,0,0
2016-09-12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,1,1,1,0,0
2016-09-13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,1,1,1,0,0
2016-09-14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,1,1,1,0,0
2016-09-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NaN,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,1,1,1,0,0
2016-09-16,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,1,1,0,0
2016-09-19,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,1,1,0,0
2016-09-20,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
2016-09-21,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
2016-09-22,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
2016-09-23,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
2016-09-26,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
2016-09-27,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
2016-09-28,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0
2016-09-29,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-09-30,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-10-03,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-10-04,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-10-05,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-10-06,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-10-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,1,0,0,0
2016-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,1,0,0,0
2016-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,1,0,0,0
2016-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,1,0,0,0
2016-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,1,0,0,0
2016-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,1,0,0,0
2016-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,NaN,0,0,0,0,0,0,0,1,0,0,0
2016-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,NaN,0,0,0,0,0,1,0,1,0,0,0
2016-10-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,NaN,0,0,0,0,0,1,0,1,0,0,1
2016-10-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1,0,0,1
2016-10-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1,0,0,1
2016-10-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1,0,0,1
2016-10-26,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1,0,0,1
2016-10-27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1,0,0,1
2016-10-28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,1,0,0,1
2016-10-31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,1
2016-11-01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,1
2016-11-02,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,1
2016-11-03,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,1
2016-11-04,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,1
2016-11-07,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,1
2016-11-08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,1,0,0,0,0,1
2016-11-09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1
2016-11-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,1,0,0,0,0,0,0,0,0,0,0
2016-11-11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NaN,1,0,0,1,0,0,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,1,0,0,0,0,0,0,0
2016-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
2016-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0
